map:nowa_mapa.json
W | T 7 2
F 1 8 | W
W | F 7 1
T 9 1 | W
W | S archer
W | W
F 7 0 | F 6 9
W | W
S archer | S archer
W | T 8 6
T 3 0 | W
W | S archer
S archer | W
W | T 9 4
T 1 3 | W
W | W
W | S swordsman
W | T 3 4
W | W
W | W
W | W
F 0 8 | W
W | W
W | W
W | F 2 0
W | W
W | W
W | S archer
F 0 1 | W
W | T 9 7
S archer | W
S swordsman | W
W | W
S swordsman | T 1 2
W | W
W | F 4 3
W | W
W | W
W | F 6 2
W | W
W | W
S archer | F 1 1
T 3 6 | W
S archer | S archer
W | W
W | W
W | W
W | S swordsman
W | F 3 4
T 5 7 | W
T 1 1 | W
W | W
T 3 1 | T 5 4
W | F 9 8
W | W
W | W
S archer | W
W | W
W | S archer
T 7 0 | F 2 0
F 0 0 | W
W | W
W | W
T 8 5 | F 2 8
F 4 7 | S archer
W | S archer
T 2 8 | T 2 2
W | T 3 1
W | W
W | S archer
W | W
S archer | F 6 5
F 6 8 | W
T 4 4 | W
T 7 1 | W
