map:nowa_mapa.json
W | S archer
W | F 9 4
W | T 2 8
F 1 3 | W
W | W
W | S archer
T 0 3 | T 3 6
W | W
W | W
W | W
W | W
S swordsman | T 1 2
F 2 1 | W
W | F 5 0
T 4 9 | S swordsman
W | W
T 6 8 | T 4 9
W | S archer
W | W
W | S swordsman
W | W
W | W
W | F 3 5
W | W
W | T 8 6
F 8 2 | S archer
F 0 3 | S swordsman
F 1 5 | S archer
S archer | W
W | W
T 0 1 | T 4 4
W | F 8 2
W | S swordsman
W | S swordsman
W | W
W | W
T 8 6 | S swordsman
S swordsman | W
T 1 0 | W
W | S swordsman
T 7 8 | F 7 8
W | W
W | W
W | W
W | W
F 8 1 | W
W | S swordsman
S swordsman | W
T 5 9 | F 8 4
W | S archer
W | W
W | W
F 7 1 | W
W | S swordsman
W | W
