map:nowa_mapa.json
F 2 7 | T 4 5
F 2 0 | W
T 5 9 | T 8 7
W | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | T 0 0
S swordsman | F 5 6
W | W
W | W
F 1 8 | W
W | T 9 3
W | W
W | W
W | W
T 8 3 | W
W | S archer
F 7 3 | W
W | F 9 1
W | T 0 0
W | T 9 5
W | W
W | W
W | T 3 2
W | F 0 9
F 6 0 | F 1 9
S swordsman | W
W | W
S swordsman | T 2 9
S archer | T 3 4
T 2 4 | S swordsman
W | F 9 3
W | F 6 1
F 3 2 | F 4 0
S archer | W
T 7 2 | T 3 9
W | W
S swordsman | S archer
W | W
W | W
T 3 2 | S archer
W | W
W | F 1 1
W | F 0 3
W | F 7 9
W | W
F 6 5 | F 8 1
W | F 8 3
S swordsman | T 7 8
W | W
W | F 3 8
S archer | W
T 3 8 | W
W | W
F 9 7 | W
F 6 0 | W
W | W
