map:nowa_mapa.json
W | W
W | W
W | W
T 0 7 | F 5 5
F 8 5 | F 8 9
T 4 0 | W
S swordsman | F 8 2
S archer | S archer
F 1 4 | W
W | W
W | S archer
W | W
W | W
W | W
W | W
W | F 1 1
W | W
W | W
W | F 8 8
S archer | W
W | W
W | F 1 0
W | W
W | W
S swordsman | T 7 4
W | T 0 9
W | W
W | W
T 5 9 | T 1 7
W | S swordsman
W | W
W | S swordsman
W | S swordsman
T 6 2 | W
T 1 9 | W
T 8 3 | W
S swordsman | T 2 1
W | W
W | F 7 9
S archer | W
F 4 0 | T 0 2
S swordsman | F 5 8
W | W
F 6 4 | W
T 0 7 | W
W | W
W | W
T 1 6 | W
W | W
W | W
T 7 3 | W
W | T 5 5
W | T 3 6
W | W
T 3 9 | W
W | W
S swordsman | W
T 8 7 | W
W | F 8 8
W | W
S swordsman | F 0 1
W | S swordsman
T 5 3 | F 2 5
W | W
T 1 2 | T 3 6
W | W
W | W
F 9 3 | S swordsman
T 2 3 | S archer
W | W
T 3 7 | W
W | W
W | F 5 5
S archer | W
S archer | W
W | W
W | S archer
W | S archer
F 5 0 | F 5 6
T 1 9 | S swordsman
W | F 8 4
T 8 7 | W
W | W
W | W
S archer | W
F 9 8 | T 4 2
S archer | W
W | S swordsman
W | F 9 7
W | F 9 9
W | F 1 9
W | S swordsman
W | S swordsman
W | S archer
W | W
T 9 9 | W
S archer | W
T 5 1 | T 0 8
W | F 1 1
W | S archer
W | W
T 7 3 | T 6 2
W | F 8 2
W | W
F 5 0 | W
T 5 2 | F 9 8
F 7 3 | W
T 9 1 | W
W | W
W | F 1 3
W | S swordsman
S archer | F 0 4
W | F 9 4
T 9 3 | W
W | W
W | W
F 3 4 | S archer
W | W
W | W
W | W
W | W
T 7 2 | W
F 9 7 | F 7 0
S swordsman | F 3 9
W | W
W | W
T 0 9 | W
W | W
W | T 9 6
W | W
W | W
W | W
F 8 6 | W
F 8 9 | S swordsman
F 6 1 | W
W | W
T 5 1 | W
W | W
W | S archer
W | F 1 5
W | S archer
W | W
S archer | W
S archer | W
W | F 0 7
T 3 1 | W
W | W
F 0 2 | F 9 6
T 6 2 | W
W | F 0 2
T 2 5 | F 6 3
W | W
W | S archer
W | S swordsman
W | F 4 5
W | F 6 4
W | T 7 1
W | W
W | W
W | W
W | F 8 9
W | S swordsman
W | W
T 7 2 | W
W | T 4 5
W | W
W | W
W | T 4 5
T 1 2 | T 4 4
F 8 2 | W
W | T 0 0
W | W
S archer | W
F 1 4 | W
W | F 6 6
W | W
W | W
W | W
W | W
W | F 6 3
F 2 9 | S swordsman
