map:nowa_mapa.json
F 4 9 | W
W | S archer
W | F 6 4
W | T 2 3
W | W
F 5 5 | W
W | W
T 7 0 | F 4 7
F 2 4 | W
F 9 0 | W
F 2 4 | W
F 3 7 | W
S archer | W
W | W
T 0 8 | W
S archer | F 8 0
W | W
W | W
T 5 1 | W
W | W
W | T 6 2
S archer | W
F 6 4 | W
W | S swordsman
S swordsman | W
W | W
W | S swordsman
W | W
W | F 0 4
W | W
W | F 4 4
W | T 6 6
W | W
W | W
W | W
T 4 8 | W
F 3 0 | W
F 9 4 | S archer
W | W
W | W
W | T 9 0
W | W
F 9 8 | W
W | T 9 1
S archer | W
W | W
W | W
T 3 4 | W
W | W
W | F 8 4
W | W
S swordsman | W
W | W
T 5 8 | F 4 4
W | W
W | W
W | T 2 0
W | W
T 2 6 | W
S archer | F 4 9
T 9 1 | W
W | T 1 6
T 6 3 | W
W | T 2 7
W | F 6 4
W | W
W | W
T 8 6 | F 4 3
W | W
W | W
W | T 3 3
W | W
W | T 9 0
W | S swordsman
W | W
S archer | W
F 1 3 | W
W | F 5 0
W | T 2 4
T 6 3 | W
W | W
W | F 1 2
W | S swordsman
T 0 5 | F 9 1
W | W
W | T 6 6
W | W
W | W
T 9 4 | W
W | W
W | T 0 8
W | W
W | W
W | W
W | W
W | W
W | W
W | W
T 4 7 | W
T 7 9 | W
