map:example_map.json
W | W
W | S swordsman
S archer | W
W | W
W | T 3 8
F 2 2 | S swordsman
W | W
W | W
S swordsman | W
T 0 9 | W
S swordsman | W
W | F 3 3
W | W
W | S swordsman
W | W
T 1 5 | S swordsman
S swordsman | S archer
T 7 3 | F 6 4
W | W
W | W
S swordsman | W
W | S swordsman
T 0 8 | W
T 5 0 | W
W | F 8 8
W | W
W | W
W | W
W | W
W | T 7 6
W | F 0 0
W | F 1 0
W | W
W | W
F 6 9 | W
W | W
F 1 2 | W
W | W
S archer | W
W | W
W | W
W | W
T 8 6 | S swordsman
W | W
W | S swordsman
W | W
W | W
F 0 2 | W
W | T 5 6
