map:sdfsfsd.json
F 3 5 | S swordsman
W | W
W | W
F 8 1 | W
W | W
W | W
W | T 8 6
S swordsman | W
W | W
W | F 6 9
W | T 2 4
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
T 4 2 | T 7 0
F 1 5 | W
W | W
W | W
F 4 7 | W
F 3 7 | W
W | W
W | W
W | T 0 9
W | W
W | W
F 8 6 | W
W | W
F 2 0 | S archer
W | W
S swordsman | W
T 4 7 | W
S archer | S swordsman
W | W
W | T 4 9
W | W
F 7 5 | W
W | W
S archer | W
W | S archer
T 4 5 | W
W | T 4 5
T 0 3 | W
W | S archer
W | S archer
W | T 1 9
S swordsman | W
W | W
W | W
W | W
W | W
F 0 1 | T 4 3
S swordsman | W
W | W
W | S archer
W | W
T 1 7 | W
F 7 9 | T 0 1
F 4 2 | W
T 9 8 | S archer
S swordsman | T 5 8
W | T 1 7
S archer | W
W | S archer
W | T 1 8
W | S archer
S archer | T 9 2
W | W
F 2 5 | W
W | F 3 2
W | W
S swordsman | S archer
T 5 8 | W
W | W
F 4 6 | S swordsman
W | W
W | F 9 0
W | W
W | T 0 4
W | W
W | W
W | S swordsman
W | S swordsman
W | S archer
F 4 0 | S archer
W | S archer
T 8 8 | W
W | S archer
T 8 4 | W
W | W
S archer | F 7 3
W | W
S swordsman | W
W | W
W | T 2 0
S archer | F 5 9
T 0 4 | W
W | W
W | F 8 3
S swordsman | W
W | W
W | W
W | W
W | W
T 9 2 | T 2 1
W | S swordsman
W | F 8 8
S archer | S archer
T 2 2 | W
W | T 5 1
W | W
W | T 0 0
W | W
S swordsman | W
W | W
W | T 4 0
T 2 7 | T 8 0
F 4 1 | W
F 0 3 | W
T 4 5 | W
W | W
W | W
T 1 2 | W
