map:duza_mapa.json
player1:bot.py
player2:bot_python2.py
W | W
W | F 3 0
W | W
S archer | W
T 0 3 | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
T 1 6 | W
S swordsman | W
F 5 2 | W
W | F 3 3
W | S archer
F 8 6 | W
W | W
W | W
W | W
W | T 5 1
S swordsman | W
T 6 7 | W
W | T 3 5
F 7 0 | W
W | W
W | S archer
T 4 8 | F 4 2
T 1 9 | W
W | F 0 9
W | T 1 8
W | W
F 6 4 | W
T 3 6 | W
W | W
W | W
S archer | T 5 8
S swordsman | W
W | T 2 6
W | W
W | W
F 7 5 | T 4 9
W | S archer
W | W
W | S archer
W | W
W | T 0 3
S swordsman | S archer
W | S archer
T 9 0 | F 6 5
F 0 2 | W
W | T 9 8
W | W
F 4 0 | W
T 5 7 | S archer
F 4 5 | W
W | W
W | W
T 0 1 | W
W | F 1 2
W | W
W | T 1 5
S archer | W
S archer | W
W | W
W | W
W | S swordsman
W | T 4 0
W | W
W | S archer
W | F 6 2
W | W
W | S archer
T 7 8 | T 6 2
W | S archer
W | W
F 9 8 | F 2 2
W | F 0 5
W | W
W | W
T 8 9 | W
W | W
W | S swordsman
W | W
S swordsman | W
F 2 6 | T 1 2
W | S archer
T 1 6 | W
T 3 3 | W
W | F 3 1
T 6 8 | W
W | W
W | F 9 9
W | W
W | W
W | T 8 9
T 2 8 | W
F 4 5 | W
W | W
W | W
S archer | S swordsman
F 6 7 | T 4 1
W | S swordsman
W | W
T 8 6 | W
F 0 6 | F 6 6
T 8 9 | S archer
W | F 0 7
T 6 4 | W
T 2 6 | W
W | W
W | W
W | W
S archer | F 7 2
W | F 5 8
W | S archer
F 7 9 | W
S archer | W
W | W
W | S archer
F 9 7 | S swordsman
W | W
W | W
T 6 5 | S archer
W | F 2 8
