map:example_map.json
T 9 9 | W
S archer | T 9 6
S swordsman | W
T 3 2 | W
W | T 3 8
W | W
F 3 5 | W
W | F 5 1
W | S swordsman
W | F 6 9
F 9 3 | W
W | W
F 1 7 | W
W | W
T 7 8 | W
T 4 7 | F 1 1
W | T 6 4
W | T 1 0
F 4 5 | W
S archer | W
W | W
W | F 4 9
W | F 4 7
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
F 8 3 | W
S swordsman | W
W | W
W | W
W | W
T 0 3 | W
W | W
W | S archer
T 0 3 | W
W | S archer
S swordsman | W
F 7 9 | W
W | W
F 8 1 | T 9 2
T 4 4 | F 5 2
W | S archer
F 4 6 | W
W | T 0 8
W | W
W | W
W | F 2 7
W | W
W | F 8 9
W | W
W | W
F 6 4 | W
F 9 9 | F 3 7
T 8 1 | F 6 0
