map:example_map.json
W | W
T 1 3 | W
S archer | T 2 0
W | F 9 8
W | W
W | W
W | W
W | W
W | W
F 8 1 | S archer
W | W
W | T 7 5
W | W
W | S swordsman
W | W
W | W
T 4 8 | W
T 4 1 | W
W | F 5 3
W | T 7 6
W | T 4 1
W | F 8 0
F 8 3 | W
W | W
W | W
T 5 4 | W
S swordsman | S archer
W | F 4 5
F 9 0 | W
W | F 5 0
F 8 6 | W
W | W
T 0 0 | T 7 3
W | F 7 9
F 9 6 | W
S archer | W
W | S archer
F 9 7 | F 4 7
F 7 6 | W
T 7 7 | W
W | F 4 3
W | F 9 1
W | W
W | W
W | W
W | W
T 0 1 | F 9 1
W | W
W | S archer
S swordsman | S swordsman
F 2 5 | F 7 8
S archer | W
T 8 1 | W
F 7 2 | F 5 5
W | T 9 2
F 7 5 | W
W | W
W | W
W | W
S swordsman | F 8 1
T 0 1 | W
W | S swordsman
S archer | S archer
W | W
W | W
W | W
W | T 2 6
F 7 2 | W
W | W
W | F 8 4
S swordsman | S swordsman
W | W
F 7 1 | W
W | W
T 6 8 | W
S archer | W
W | W
W | W
W | F 4 8
W | T 2 4
W | S archer
W | W
W | W
F 2 2 | F 8 9
F 2 4 | T 9 6
W | W
T 1 7 | W
W | W
W | W
F 6 5 | W
T 7 4 | W
W | F 4 7
W | S archer
F 6 4 | T 3 9
W | F 2 2
F 2 0 | W
